system:index,PfafIDrunoff_annua,countrunoff_annua,meanrunoff_annua,.geo
227,115427,2339,0.04655415135932133,
228,115428,1980,0.1688114556439636,
229,115429,11579,0.41197905920010186,
230,115430,18309,0.08017333080742275,
231,115440,14238,0.1341843659097778,
232,115451,34,0.05005565975663926,
233,115452,3041,0.22594453119080118,
234,115453,6141,0.2569922048925091,
235,115454,5229,0.4801550713669006,
236,115455,8528,0.4264104408912328,
237,115456,4944,0.756094022964245,
238,115457,740,0.49830000813681163,
239,115458,4129,0.7335735818275756,
240,115459,17083,0.5601339621072096,
241,115460,8270,0.9613527928921178,
242,115470,9268,0.7165065627669561,
243,115480,12405,0.8798800811409354,
244,115490,6089,0.9779234080703539,
245,115501,6,0.07865090809769945,
246,115502,8893,0.04697810336133037,
247,115503,750,0.08543645555797558,
248,115504,2436,0.046957014698665374,
249,115505,2096,0.05755641676056643,
250,115506,7486,0.08917346165274304,
251,115507,574,0.10577212409628571,
252,115508,7481,0.07990304769525597,
253,115509,7552,0.1027751586160469,
254,115601,269,0.08594737411050572,
255,115602,21806,0.2999396288410174,
256,115603,1991,0.39082126787661114,
257,115604,2276,0.5295780953880154,
258,115605,19149,0.40362881057111494,
259,115606,1710,0.3369634318353814,
260,115607,4877,0.33679063603628573,
261,115608,12255,0.32466411042171495,
262,115711,18,0.038848519452483465,
263,115712,7528,0.08544713354542086,
264,115713,7,0.08926166594028473,
265,115714,25076,0.1650962087497363,
266,115715,13882,0.07801032636222169,
267,115716,6926,0.16901544692071274,
268,115717,32235,0.22299420192813554,
269,115718,4428,0.22029288084852444,
270,115719,27564,0.3660733472641599,
271,115720,175,0.3148423414005992,
272,115730,15209,0.19998378263691463,
273,115740,4470,0.10185658753173851,
274,115750,4443,0.0768327531645874,
275,115801,15355,0.1620159426334375,
276,115802,8564,0.2011097774724775,
277,115803,22718,0.22581514252806986,
278,115804,1554,0.18501776909629064,
279,115805,2794,0.13200496592136887,
280,115806,5497,0.05664978008415002,
281,115807,2697,0.016768951588654105,
282,115808,8272,0.01593633234075958,
283,115809,7022,0.14171663860739414,
284,115900,20078,0.030146205980486663,
285,116001,3505,0.27756630511452207,
286,116002,38883,0.24276151616771258,
287,116003,3319,0.24491210817247913,
288,116004,21261,0.35890813215511136,
289,116005,3515,0.28841697360710816,
290,116006,4365,0.19414523271608278,
291,116007,6990,0.2335212113682679,
292,116008,3767,0.3085521708474347,
293,116009,7790,0.22397235458955836,
294,117000,10611,0.5092712770920927,
295,117100,198,0.02902760004512956,
296,117101,178,0.03100208089639295,
297,117102,12543,0.04828833441145926,
298,117103,92,0.06260202200077544,
299,117104,13065,0.035814969476200824,
300,117105,8805,0.17637216790867694,
301,117106,6687,0.1736098073758028,
302,117107,428,0.27197569779826813,
303,117108,11426,0.08850149346156917,
304,117109,3646,0.2791894870942065,
305,117201,2410,0.1740948556078706,
306,117202,9093,0.03856498612833787,
307,117203,5632,0.05169268970716706,
308,117204,15089,0.0891563025581556,
309,117205,7273,0.04022142982804658,
310,117206,15598,0.15160829087218314,
311,117207,2233,0.04623305379653047,
312,117208,6528,0.06687694597234262,
313,117209,47115,0.23311348962260592,
314,117300,2825,0.4858262670848127,
315,117310,1640,0.12352106521752562,
316,117320,9733,0.3401054534878475,
317,117321,35,0.14549343460401393,
318,117322,3445,0.08746369474944062,
319,117323,4536,0.05610091009873862,
320,117324,8445,0.2719364447774936,
321,117325,4901,0.20425415547699732,
322,117326,10718,0.12410485391717069,
323,117327,860,0.18114633835244182,
324,117328,3379,0.16050714771851107,
325,117329,8495,0.2543670057276228,
326,117331,903,0.10913378425977938,
327,117332,8998,0.09362012718224189,
328,117333,1538,0.2653332412308742,
329,117334,4584,0.0693409352705385,
330,117335,130,0.31158761857102024,
331,117336,5124,0.10954168890141731,
332,117337,3678,0.22374361120896993,
333,117338,7822,0.20781201841470887,
334,117339,4284,0.3215809906271465,
335,117340,3629,0.2357263445210826,
336,117341,3562,0.40256572530379636,
337,117342,1453,0.40728032198790215,
338,117343,225,0.19607643068790412,
339,117344,24075,0.2177719133297107,
340,117345,1996,0.3653833875679924,
341,117346,2560,0.2226060173334655,
342,117347,7977,0.17857729679410483,
343,117348,6817,0.2688961699035834,
344,117349,7746,0.4283213642908345,
345,117350,9019,0.17171453599730152,
346,117360,1417,0.14723772377483724,
347,117361,8239,0.13583120414213803,
348,117362,4616,0.09240665629385075,
349,117363,1954,0.18281623708883624,
350,117364,3249,0.1275341163758982,
351,117365,5139,0.22585690266110445,
352,117366,3863,0.3104576238118699,
353,117367,10234,0.1515596536061633,
354,117368,3636,0.14130301256500064,
355,117369,8350,0.14474008151020765,
356,117370,230,0.12236686071564373,
357,117380,20652,0.33032018096057403,
358,117390,8799,0.2791053069645014,
359,117400,31535,0.14339309933854616,
360,117410,6659,0.33738886820159775,
361,117420,9684,0.3661072493156874,
362,117430,6244,0.38044986987398477,
363,117441,7455,0.41962195190689083,
364,117442,30064,0.5446412364775727,
365,117443,1483,0.6427229340505479,
366,117444,4685,0.75657995421942,
367,117445,6049,0.5431687360501027,
368,117446,6873,0.5286394563314981,
369,117447,7098,0.8601151668323463,
370,117448,11424,0.3468721794480918,
371,117449,10133,0.4084626700890358,
372,117450,23656,0.24856132099459927,
373,117460,32393,0.10367158801198859,
374,117470,3648,0.13677951452962586,
375,117480,6353,0.23508152351893846,
376,117490,34383,0.29082338679173725,
377,117501,3774,0.3842771046491926,
378,117502,19773,0.31685257362964614,
379,117503,70,0.34120459809062487,
380,117504,4880,0.34910329153842434,
381,117505,1784,0.25079391620786495,
382,117506,20274,0.2516780999167089,
383,117507,1699,0.1326641777190042,
384,117508,7144,0.263617207945681,
385,117509,6567,0.2175305919636412,
386,117610,21194,0.2818950080547647,
387,117621,20963,0.3352505398267005,
388,117622,7510,0.4478787436775554,
389,117623,6148,0.4049529678905323,
390,117624,5529,0.5470172292129383,
391,117625,3107,0.5308826390972831,
392,117626,5092,0.6955232233382097,
393,117627,2338,0.5327059155179871,
