PFAF_ID,SUB_NAME,MAJ_NAME
743006,"[Mermentau Headwaters, Mermentau]","[Mississippi - Missouri, Mississippi - Missouri]"
743007,"[Mermentau, Lower Calcasieu]","[Mississippi - Missouri, Mississippi - Missouri]"
743008,"[Whiskey Chitto, Upper Calcasieu, West Fork Calcasieu, Lower Calcasieu]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
743009,[Lower Calcasieu],[Mississippi - Missouri]
751100,[Sabine Lake],[Gulf Coast]
751201,[Sabine Lake],[Gulf Coast]
751202,[Sabine Lake],[Gulf Coast]
751203,[Sabine Lake],[Gulf Coast]
751204,"[Pine Island Bayou, Angelina, Upper Neches, Lower Neches, Village]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751205,[Lower Sabine / Toledo Bend Reservoir],[Gulf Coast]
751206,[Lower Sabine / Toledo Bend Reservoir],[Gulf Coast]
751207,[Lower Sabine / Toledo Bend Reservoir],[Gulf Coast]
751208,[Lake Fork],[Gulf Coast]
751209,[Upper Sabine],[Gulf Coast]
751300,"[Lower Trinity, Sabine Lake, East Galveston Bay]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751401,"[Lower Trinity, Lower Trinity / Tehuacana, Lower Trinity / Kickapoo]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751402,"[Lower Trinity / Tehuacana, Richland, Chambers]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751403,[Lower Trinity / Tehuacana],[Gulf Coast]
751404,[Cedar],[Gulf Coast]
751405,[Upper Trinity],[Gulf Coast]
751406,[East Fork Trinity],[Gulf Coast]
751407,[Upper Trinity],[Gulf Coast]
751408,"[Denton, Elm Fork Trinity]","[Gulf Coast, Gulf Coast]"
751409,"[Lower West Fork Trinity, Upper West Fork Trinity]","[Gulf Coast, Gulf Coast]"
751500,"[Buffalo / San Jacinto, Spring, East Fork San Jacinto, Lower Trinity, West Fork San Jacinto, West Galveston Bay, North Galveston Bay, Austin / Oyster, Lower Brazos]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751600,[Yellow House Draw],[Gulf Coast]
751610,[Lower Brazos],[Gulf Coast]
751620,[Navasota],[Gulf Coast]
751630,"[Lower Brazos / Little Brazos, Yagua, Lower Brazos]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751640,"[Leon, Cowhouse, Lampasas, Little Texas, San Gabriel]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751650,"[Middle Brazos / Palo Pinto, Middle Brazos / Lake Whitney, North Bosque, Lower Brazos / Little Brazos]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751660,"[Upper Clear Fork Brazos, Paint, Hubbard, Lower Clear Fork]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751670,[Middle Brazos / Millers],[Gulf Coast]
751680,"[Yellow House Draw, Blackwater Draw, Double Mountain Fork Brazos, North Fork Double Mountain Fork Brazos]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751690,"[Running Water Draw / White, Salt Fork Brazos]","[Gulf Coast, Gulf Coast]"
751700,"[East Matagorda Bay, San Bernard, Lower Brazos, Lower Colorado]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751810,"[Pedernales, Lower Colorado, Buchanan / Lyndon B Johnson Lakes]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751820,"[Llano, South Llano, North Llano]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751830,[Buchanan / Lyndon B Johnson Lakes],[Gulf Coast]
751840,"[Brady, San Saba]","[Gulf Coast, Gulf Coast]"
751850,"[Middle Colorado, Jim Ned, Pecan Bayou]","[Gulf Coast, Gulf Coast, Gulf Coast]"
751860,"[North Concho, Middle Concho, South Concho, Concho]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751870,[Upper Colorado / Elm],[Gulf Coast]
