system:index,PfafIDDomWW_monthY2014M05,countDomWW_monthY2014M05,meanDomWW_monthY2014M05,.geo
446,122217,20739,1.8875798289885612E-4,
447,122218,7387,1.3357773126289652E-4,
448,122219,381,3.7481154728557104E-5,
449,122220,10173,3.6491777270725455E-4,
450,122230,15251,5.5743231271785276E-5,
451,122240,13981,2.4706622387854824E-4,
452,122250,4175,1.7001839886159517E-5,
453,122260,9898,8.732407624692173E-5,
454,122270,25323,2.4845013127011173E-5,
455,122281,58,0.0,
456,122282,18679,4.147032533937246E-5,
457,122283,8866,2.5072111960972584E-5,
458,122284,3054,3.380495907357885E-5,
459,122285,1410,4.176788856371021E-5,
460,122286,2459,9.248061890814741E-5,
461,122287,2283,3.472936893669413E-5,
462,122288,5474,1.8707324520255556E-5,
463,122289,4972,5.036602458318742E-5,
464,122290,14591,1.623748231504852E-4,
465,122310,31891,6.691612537251226E-6,
466,122321,1222,7.867718341600438E-6,
467,122322,23462,7.307693624879293E-5,
468,122323,1012,7.819399376378222E-6,
469,122324,26869,1.6748456092445442E-4,
470,122325,566,6.510454548317967E-6,
471,122326,979,3.181737957914877E-6,
472,122327,743,1.7474983231355548E-5,
473,122328,2014,3.125085224209625E-6,
474,122329,9878,9.396320837012794E-5,
475,122330,1421,9.159536204111038E-6,
476,122340,19786,2.5797396523574084E-5,
477,122350,11368,9.841512724222186E-6,
478,122360,35190,5.020280438685152E-5,
479,122371,6512,1.9867293498182267E-6,
480,122372,2747,2.8187716469826546E-6,
481,122373,5796,1.9863304583423416E-6,
482,122374,6294,3.5342902349687415E-6,
483,122375,2608,9.709468269349278E-7,
484,122376,11494,6.183423407130538E-5,
485,122377,3260,1.1814056725081925E-6,
486,122378,2622,2.9366463478054187E-6,
487,122379,170,6.613445854109617E-7,
488,122380,30585,2.759585222048678E-4,
489,122390,928,6.154169403527307E-6,
490,122410,9362,4.9821631236434064E-5,
491,122421,1196,5.044192614072573E-5,
492,122422,18009,1.5933241850809587E-5,
493,122423,7491,4.663774603010067E-5,
494,122424,10799,8.820052754599937E-5,
495,122425,914,2.2388730381569674E-5,
496,122426,4254,1.9731307332051347E-5,
497,122427,5533,4.2349645751120766E-5,
498,122428,2222,5.028840579103756E-5,
499,122429,3051,1.731805763429144E-5,
500,122430,27772,5.7745647526955256E-5,
501,122440,12555,2.0002689264279132E-4,
502,122450,18864,6.600635218476352E-5,
503,122460,7469,1.3506685290601036E-5,
504,122470,3244,4.1914134373114326E-5,
505,122480,5516,1.229238763723512E-4,
506,122491,6706,2.3212724570800922E-5,
507,122492,3053,2.514752556288599E-5,
508,122493,1532,1.4894242404013508E-5,
509,122494,2788,8.308667085250375E-5,
510,122495,5977,2.9128011572392268E-5,
511,122496,5303,3.676262070171123E-5,
512,122497,1273,1.863006112153207E-5,
513,122498,3034,3.467567997907619E-5,
514,122499,10962,3.537990572278786E-5,
515,122500,23063,2.7623183005068015E-4,
516,122611,9237,2.632538944901997E-4,
517,122612,5371,0.001051870335419023,
518,122613,192,8.940212754355887E-6,
519,122614,4748,3.161561195762358E-5,
520,122615,4622,1.5924202400923262E-4,
521,122616,10095,1.3512551060930198E-4,
522,122617,15119,3.4296730065939694E-5,
523,122618,8593,2.928660077318079E-5,
524,122619,19409,1.2553142960627115E-5,
525,122620,12619,1.1633369318539516E-5,
526,122630,2524,1.1329975030446743E-5,
527,122640,29501,2.0306902806535983E-5,
528,122650,5639,1.3937571339761813E-5,
529,122660,16242,3.1574637476951915E-5,
530,122670,3328,2.0783539346263828E-5,
531,122680,11281,1.8273820281559873E-5,
532,122690,29803,2.1324544522303805E-4,
533,122710,5407,8.736749711390639E-5,
